Device,Serial Number,IP Address,Asset Number,Location,Model,Black,Cyan,Magenta,Yellow
Canon MF1643i II,35A09078,10.200.17.104,HHS8567,S1.210,Undefined, ,,,
Canon MF1643i II,35A37075,10.205.40.144,HHS7019,A4.123,Undefined, ,,,
HP Color LaserJet M452dn,VNB3L03031,10.200.33.130,HCMC3555,G7.229,Hewlett-Packard Color LaserJet Pro M452dn, , , , 
HP Color LaserJet M452dn,VNB3B66579,10.205.7.222,HCMC3170,A1.727,Hewlett-Packard Color LaserJet Pro M452dn, , , , 
HP Color LaserJet M452dn,VNB3M25987,10.200.102.229,HCMC2113,RL.122 (office inside RL.130 pharmacy),Hewlett-Packard Color LaserJet Pro M452dn, , , , 
HP Color LaserJet M452dn,VNB3M85021,10.200.205.74,HCMC3293,O4.WELCOME DESK,Hewlett-Packard Color LaserJet Pro M452dn, , , , 
HP Color LaserJet M452dn,VNB3M98966,10.205.6.190,HCMC3379,AL.744,Hewlett-Packard Color LaserJet Pro M452dn,, , , 
HP Color LaserJet M452dn,VNB3B66580,10.205.41.56,HCMC3167,A4.231,Hewlett-Packard Color LaserJet Pro M452dn, , , , 
HP Color LaserJet M651,JPCCHCR0QT,10.210.2.66,HCMC1356,Whittier Orange Education W2.2242,Hewlett-Packard Color LaserJet Enterprise M651n, , , ,5%
HP Color LaserJet Pro M454dn,VNB3S07251,10.200.110.117,HCMC3599,P4.116,HP Color LaserJet Pro M454dn, , , , 
HP Color LaserJet Pro M454dn,VNB3S07257,10.210.44.99,HCMC3593,SA.107,HP Color LaserJet Pro M454dn,5%, , , 
HP Color LaserJet Pro M454dn,VNB3S07265,10.200.46.168,HCMC3607,PSF.431 JAIL,HP Color LaserJet Pro M454dn, ,1%, ,3%
